ID,Name,,,Description
101,Hilton Hotel,,,"The hilton hotel is a modern, elegant 5-star hotel overlooking the sea, perfect for a romantic, charming vacation, in the enchanting setting of the Red Sea "
102,NEOM Health Resort,,,"NEOM Health Resort is a luxury hotel that offers wellness facilities, such as a spa or fitness centre and designed programme of therapies and activities, guided by leading health and fitness experts"
103,Java Café,,,"Java Café is located in the NEOM City near of tourist train station typically serves coffee and tea, in addition to light refreshments such as baked goods or snacks."
104,NEOM International Hospital,,,NEOM International Hospital is a health care institution providing patient treatment with specialized medical and nursing staff and medical equipment
105,Travel and Tourism Center,,,Travel and Tourism Center is a center that contain all services that tourist need it such as a lots of travel agent offices and tourism services 
106,LES Suites,,,"Les Suites Hotel NEOM puts you near the Red Sea, NEOM Mountain and near from tourist train station"
201,Coral Sea,,," Coral Sea is a place where you can have the best sport experience, the most beautiful view of the colorful fish house the corals under one of the clearest water bodies."
202,Lily Wave Beach,,,"Lily Wave Beach is your destination for calming wave sound, water activities, swimming and tanning, Horse surfing, everything you would ever desire in a one beach."
203,Fishing Space,,,"Fishing Space is where triaing the amazing remote fishing experience one of the best out there, every thing you imagin about fishing and fishing techniques is available. "
204,Under The Milky Way,,,"A place where you will be fascinated by the view of stars beneath one of the most amazing rocks and mountains views, Calming visual art in one spot."
205,Storm Theme Park,,,"Storm Theme Park is an amazing experience in the most famous Theme Park on the middle east is waiting for you, a trip that suits family members, friends and more, including exclusive games and fastest rides in the world!"
206,Wadi Aldisah Resort,,,"Wadi Aldisah Resort is where you will enjoy the relaxing remote resort in the raw nature of Wadi Aldisah, one of the most luxuries resorts in the whole world! "
301,The Fish House Restaurant,,,The Fish House Restaurant is where you will enjoy The unique experience at our fish restaurant with the best sea food recipes and techniques by the best chefsout there !
302,Earth Café,,,"The one and only cozy café, here you will try one of the best coffee beans tastes, pastries and desserts in the whole world!"
303,Spa Lounge,,,Spa Lounge is where you will enjoy our luxurios spa experience of relaxation with the best natural beauty products.
304,Fitness Gym,,,Fitness Time strives to provide the best sports and fitness services through our growing network of facilities across the Middle East and North Africa. We believe health goals can be achieved through overall mind and body fitness.
305,Beauty Salon,,,"Beauty Salon is located at NEOM Beauty salon provides you a range of highly trendy hair, makeup and nails newlooks and stylings with a highly experienced and skilled stylist."
